,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
130,32000,Nevada,1999,101394700000.0,1934718.0,Nevada,NV,52407.99951207359,10.866814521101562
131,33000,New Hampshire,1999,53084500000.0,1222014.0,New Hampshire,NH,43440.17335316944,10.67913994523451
132,34000,New Jersey,1999,447872100000.0,8359592.0,New Jersey,NJ,53575.8324090458,10.888853357487447
133,35000,New Mexico,1999,70487900000.0,1808082.0,New Mexico,NM,38984.902233416404,10.570929727940541
134,36000,New York,1999,1051337600000.0001,18882725.0,New York,NY,55677.21819811495,10.927326333237872
135,37000,North Carolina,1999,345457600000.0,7949361.0,North Carolina,NC,43457.27914482686,10.6795336458871
136,38000,North Dakota,1999,23770700000.0,644259.0,North Dakota,ND,36896.18616115568,10.51586346862077
137,39000,Ohio,1999,499292800000.0,11335454.0,Ohio,OH,44047.005086871686,10.693012640105678
138,40000,Oklahoma,1999,119685400000.0,3437147.0,Oklahoma,OK,34821.14672430362,10.457980145700743
139,41000,Oregon,1999,126739200000.0,3393941.0,Oregon,OR,37342.78232886193,10.527894927679718
140,42000,Pennsylvania,1999,524960900000.0,12263805.0,Pennsylvania,PA,42805.711604188094,10.664426821362387
141,44000,Rhode Island,1999,43144900000.0,1040402.0,Rhode Island,RI,41469.45123135096,10.632712320245973
142,45000,South Carolina,1999,146104400000.0,3974682.0,South Carolina,SC,36758.764600539114,10.512131968737837
143,46000,South Dakota,1999,27463400000.0,750412.0,South Dakota,SD,36597.762295912114,10.507742378064412
144,47000,Tennessee,1999,230895600000.0,5638706.0,Tennessee,TN,40948.33105325938,10.620066332730516
145,48000,Texas,1999,961513200000.0,20558220.0,Texas,TX,46770.25540148904,10.753002711502308
146,49000,Utah,1999,89282000000.0,2203482.0,Utah,UT,40518.5973835956,10.609516342353709
147,50000,Vermont,1999,21830200000.0,604683.0,Vermont,VT,36101.89140425644,10.49410053641819
148,51000,Virginia,1999,332373300000.0,7000174.0,Virginia,VA,47480.71976496584,10.768079007938228
149,53000,Washington,1999,308949500000.0,5842564.0,Washington,WA,52879.095547776626,10.87576337051728
150,54000,West Virginia,1999,61783900000.0,1811799.0,West Virginia,WV,34100.857766231245,10.437077817390174
151,55000,Wisconsin,1999,225783700000.0,5332666.0,Wisconsin,WI,42339.741510156455,10.653481439572356
152,56000,Wyoming,1999,26597700000.0,491780.0,Wyoming,WY,54084.55000203343,10.898303841830709
153,01000,Alabama,2000,157221300000.0,4452173.0,Alabama,AL,35313.385171690315,10.472017354383558
154,02000,Alaska,2000,39406600000.0,627963.0,Alaska,AK,62753.06029176878,11.046962625394773
155,04000,Arizona,2000,208439500000.0,5160586.0,Arizona,AZ,40390.66493611385,10.606353971311618
156,05000,Arkansas,2000,89871700000.0,2678588.0,Arkansas,AR,33551.89375895061,10.420848586677181
157,06000,California,2000,1696172400000.0,33987977.0,California,CA,49905.07084313962,10.817877896679635
158,08000,Colorado,2000,231589800000.0,4326921.0,Colorado,CO,53523.00169104081,10.88786677863747
159,09000,Connecticut,2000,216157600000.0,3411777.0,Connecticut,CT,63356.309629849784,11.056529780313651
160,10000,Delaware,2000,56550200000.0,786373.0,Delaware,DE,71912.69283151889,11.18320806264223
161,11000,District of Columbia,2000,85355900000.0,572046.0,District of Columbia,DC,149211.60186418574,11.913120724212426
162,12000,Florida,2000,642708200000.0,16047515.0,Florida,FL,40050.32554884666,10.597892081023934
163,13000,Georgia,2000,389727300000.0,8227303.0,Georgia,GA,47369.994760129775,10.765744285301997
164,15000,Hawaii,2000,55891100000.0,1213519.0,Hawaii,HI,46057.045666363694,10.73763603033544
165,16000,Idaho,2000,47295400000.0,1299430.0,Idaho,ID,36397.035623311756,10.502242611388496
166,17000,Illinois,2000,640723400000.0,12434161.0,Illinois,IL,51529.28291663587,10.849905525382942
167,18000,Indiana,2000,264121700000.0,6091866.0,Indiana,IN,43356.452686254095,10.677210822025474
168,19000,Iowa,2000,121924200000.0,2929067.0,Iowa,IA,41625.609793152566,10.636470876860786
169,20000,Kansas,2000,114030500000.0,2693681.0,Kansas,KS,42332.59246362134,10.653312575760138
170,21000,Kentucky,2000,151495100000.0,4049021.0,Kentucky,KY,37415.24185722919,10.529833436671815
171,22000,Louisiana,2000,205722600000.0,4471885.0,Louisiana,LA,46003.55331141118,10.736473918388164
172,23000,Maine,2000,48490200000.0,1277072.0,Maine,ME,37969.82472405628,10.544547037046014
173,24000,Maryland,2000,250771700000.0,5311034.0,Maryland,MD,47217.11440747696,10.762511699231302
174,25000,Massachusetts,2000,358121500000.0,6361104.0,Massachusetts,MA,56298.63935568417,10.9384256460859
175,26000,Michigan,2000,438463800000.0,9952450.0,Michigan,MI,44055.86564112354,10.693213781208312
176,27000,Minnesota,2000,247802600000.0,4933692.0,Minnesota,MN,50226.605146815,10.824300148292712
177,28000,Mississippi,2000,88077500000.0,2848353.0,Mississippi,MS,30922.255773775232,10.339231455207635
178,29000,Missouri,2000,244705900000.0,5607285.0,Missouri,MO,43640.71025460628,10.683745715126351
179,30000,Montana,2000,31241100000.0,903773.0,Montana,MT,34567.41903110626,10.450666870918417
