,GeoName,Year,Real GDP per capita,log GDP per capita
659,Shanghai,2001,36671933463.48657,24.325277543668765
660,Jiangsu,2001,15379073003.820984,23.45627352637394
661,Zhejiang,2001,17018942577.38297,23.55759282992323
662,Anhui,2001,6892704996.644235,22.653729442406775
663,Fujian,2001,13618539725.24465,23.334697916445826
664,Jiangxi,2001,6159275003.1311655,22.541224913268433
665,Shandong,2001,12031135187.0751,23.210763725496477
666,Henan,2001,7457911280.679371,22.73254122277272
667,Hubei,2001,8530086257.324449,22.86686531062917
668,Hunan,2001,7510926993.478258,22.73962472965607
669,Guangdong,2001,15770972936.257887,23.481436931405586
670,Guangxi,2001,6181990780.251921,22.544906189269252
671,Hainan,2001,8611324838.07265,22.876344015566694
672,Chongqing,2001,8420479489.339145,22.853932610056592
673,Sichuan,2001,6814474903.45163,22.642314849009246
674,Guizhou,2001,3693443482.513218,22.029825052937888
675,Yunnan,2001,6237568099.91877,22.553856215787096
676,Tibet,2001,6354442119.249413,22.57241995162101
677,Shaanxi,2001,6669567602.409014,22.620820867547533
678,Gansu,2001,5707670916.206933,22.46507688181682
679,Qinghai,2001,7874681228.159792,22.786918541874975
680,Ningxia,2001,7668258168.101782,22.760355329807933
681,Xinjiang,2001,9921202675.094637,23.017939988303265
682,Beijing,2000,28799095987.730854,24.083609834280757
683,Tianjin,2000,18864741061.495975,23.660560464400263
684,Hebei,2000,8419848299.008793,22.853857648293545
685,Shanxi,2000,7210230722.02044,22.698766788011497
686,Inner Mongolia,2000,7999377872.700757,22.802629609689916
687,Liaoning,2000,13112974043.061766,23.296867962012442
688,Jilin,2000,7933597839.258218,22.794372469482898
689,Heilongjiang,2000,8889613498.22458,22.908149409511882
690,Shanghai,2000,35501314926.13776,24.292835572914704
691,Jiangsu,2000,14062872015.206446,23.36680397097582
692,Zhejiang,2000,15719546427.17049,23.47817077029778
693,Anhui,2000,6232569763.791343,22.55305456684789
694,Fujian,2000,13098316779.580978,23.295749568789635
695,Jiangxi,2000,5739950003.698496,22.470716337082894
696,Shandong,2000,11093225524.791819,23.129600445866043
697,Henan,2000,6766311721.407107,22.635221977985765
698,Hubei,2000,7528478211.662122,22.7419587616091
699,Hunan,2000,6956517490.20475,22.662944825467836
700,Guangdong,2000,14690830846.169266,23.410489384155643
701,Guangxi,2000,5668711990.194294,22.458227766657597
702,Hainan,2000,8090734640.869348,22.813985372406865
703,Chongqing,2000,7324441826.563819,22.71448278779439
704,Sichuan,2000,6288376145.671089,22.561968709888376
705,Guizhou,2000,3379753171.8042326,21.94106851768138
706,Yunnan,2000,5806255604.0916,22.482201725708578
707,Tibet,2000,5457588728.815176,22.420272904399166
708,Shaanxi,2000,5982351622.123778,22.512079575454067
709,Gansu,2000,5292641337.373767,22.389583265836134
710,Qinghai,2000,6972256943.112847,22.66520481749838
711,Ningxia,2000,6799082246.740903,22.64005347630548
712,Xinjiang,2000,9150443232.734158,22.9370681557966
713,Beijing,1999,25543538598.020977,23.963650229168074
714,Tianjin,1999,17219670806.457596,23.569318218832812
715,Hebei,1999,7482025144.154079,22.735769333486083
716,Shanxi,1999,6563905740.905667,22.604851650062873
717,Inner Mongolia,1999,7196337281.524966,22.696838022631823
718,Liaoning,1999,11667339340.748363,23.180059265884
719,Jilin,1999,7383020951.593053,22.722448734835076
720,Heilongjiang,1999,7679935239.540826,22.761876951718985
721,Shanghai,1999,32450306830.212955,24.202975735528323
722,Jiangsu,1999,12617695264.938265,23.258366051782208
723,Zhejiang,1999,14103179717.737694,23.36966612080284
724,Anhui,1999,5707011678.743511,22.464961374888148
725,Fujian,1999,11970430480.487219,23.205705319151768
726,Jiangxi,1999,5135748974.943897,22.359491526544584
727,Shandong,1999,10091264071.481783,23.034935943096585
728,Henan,1999,5813078692.195621,22.48337616285176
729,Hubei,1999,6558122434.138586,22.603970184627133
730,Hunan,1999,6169603449.566356,22.542900402063466
731,Guangdong,1999,12902377787.14401,23.280677455913157
732,Guangxi,1999,5290701997.953935,22.38921677683921
733,Hainan,1999,7363546837.971157,22.719807560940186
734,Chongqing,1999,6711417142.715285,22.627075964247002
735,Sichuan,1999,5674130202.951281,22.45918312036469
